game_id,home_bat_runs,home_bat_doubles,home_bat_triples,home_bat_homeRuns,home_bat_strikeOuts,home_bat_baseOnBalls,home_bat_hits,home_bat_avg,home_bat_atBats,home_bat_obp,home_bat_slg,home_bat_ops,home_bat_stolenBases,home_bat_rbi,home_bat_leftOnBase,home_pit_runs,home_pit_doubles,home_pit_triples,home_pit_homeRuns,home_pit_strikeOuts,home_pit_baseOnBalls,home_pit_hits,home_pit_atBats,home_pit_obp,home_pit_stolenBases,home_pit_numberOfPitches,home_pit_era,home_pit_inningsPitched,home_pit_earnedRuns,home_pit_pitchesThrown,home_pit_strikes,home_pit_rbi,home_starter_era,home_starter_ip,home_starter_k,home_starter_bb,home_starter_h,home_starter_er,home_starter_name,away_bat_runs,away_bat_doubles,away_bat_triples,away_bat_homeRuns,away_bat_strikeOuts,away_bat_baseOnBalls,away_bat_hits,away_bat_avg,away_bat_atBats,away_bat_obp,away_bat_slg,away_bat_ops,away_bat_stolenBases,away_bat_rbi,away_bat_leftOnBase,away_pit_runs,away_pit_doubles,away_pit_triples,away_pit_homeRuns,away_pit_strikeOuts,away_pit_baseOnBalls,away_pit_hits,away_pit_atBats,away_pit_obp,away_pit_stolenBases,away_pit_numberOfPitches,away_pit_era,away_pit_inningsPitched,away_pit_earnedRuns,away_pit_pitchesThrown,away_pit_strikes,away_pit_rbi,away_starter_era,away_starter_ip,away_starter_k,away_starter_bb,away_starter_h,away_starter_er,away_starter_name,game_date,home_team,away_team,home_score,away_score,winning_team,home_win,home_probable_pitcher,away_probable_pitcher
718768,2,0,0,1,13,2,4,.133,30,.212,.233,.445,1,1,10,3,2,0,1,9,1,11,38,.325,0,145,3.00,9.0,3,145,97,3,0.00,5.0,4,0,6,0,"Valdez, F",3,2,0,1,9,1,11,.289,38,.325,.421,.746,0,3,20,2,0,0,1,13,2,4,30,.212,1,141,2.00,9.0,2,141,98,1,1.42,6.1,10,0,2,1,Cease,2023-03-30,Houston Astros,Chicago White Sox,2,3,Chicago White Sox,0,,
718778,2,3,0,0,10,1,7,.219,32,.235,.313,.548,0,2,19,7,4,0,3,17,1,17,44,.400,1,187,7.00,9.0,7,187,123,7,6.23,4.1,9,1,6,3,Snell,7,4,0,3,17,1,17,.386,44,.400,.682,1.082,1,7,27,2,3,0,0,10,1,7,32,.235,0,133,2.00,9.0,2,133,88,2,3.00,6.0,5,0,5,2,Márquez,2023-03-30,San Diego Padres,Colorado Rockies,2,7,Colorado Rockies,0,,
718769,2,2,0,0,12,4,6,.207,29,.303,.276,.579,1,2,15,1,0,0,0,8,4,5,31,.257,1,155,1.00,9.0,1,155,94,1,1.80,5.0,3,1,4,1,Muller,1,0,0,0,8,4,5,.161,31,.257,.161,.418,1,1,15,2,2,0,0,12,4,6,29,.303,1,135,2.25,8.0,2,135,82,2,0.00,6.0,10,3,2,0,Ohtani,2023-03-30,Oakland Athletics,Los Angeles Angels,2,1,Oakland Athletics,1,,
718770,8,2,0,1,12,5,12,.353,34,.425,.500,.925,0,8,15,2,1,0,0,8,0,4,28,.167,0,114,2.00,9.0,2,114,81,2,3.00,6.0,6,0,4,2,"Urías, J",2,1,0,0,8,0,4,.143,28,.167,.179,.346,0,2,4,8,2,0,1,12,5,12,34,.425,0,158,9.00,8.0,8,158,96,8,9.64,4.2,7,3,6,5,Gallen,2023-03-30,Los Angeles Dodgers,Arizona Diamondbacks,8,2,Los Angeles Dodgers,1,,
718767,3,2,0,1,5,1,7,.233,30,.281,.400,.681,1,3,13,0,1,0,0,9,0,4,31,.129,0,121,0.00,9.0,0,121,89,0,0.00,6.0,6,0,1,0,"Castillo, L",0,1,0,0,9,0,4,.129,31,.129,.161,.290,0,0,6,3,2,0,1,5,1,7,30,.281,1,129,3.38,8.0,3,129,82,3,0.00,6.0,3,0,6,0,Bieber,2023-03-30,Seattle Mariners,Cleveland Guardians,3,0,Seattle Mariners,1,,
718771,2,0,1,2,5,1,10,.242,32,.277,.468,.745,0,2,15,1,1,0,1,8,4,4,29,.242,1,126,3.00,9.0,1,126,79,1,0.00,5.2,5,4,2,0,Luzardo,1,1,0,1,8,4,4,.197,29,.301,.279,.580,1,1,7,2,0,1,2,5,1,10,32,.333,0,115,2.65,8.0,2,115,70,2,1.80,5.0,5,1,8,1,"Peterson, D",2023-03-31,Miami Marlins,New York Mets,2,1,Miami Marlins,1,,
718764,6,1,0,1,8,7,7,.190,28,.319,.310,.629,2,6,15,3,4,0,0,11,1,11,37,.333,2,140,3.00,9.0,3,140,106,3,5.40,5.0,6,1,8,3,Javier,3,4,0,0,11,1,11,.293,37,.329,.413,.742,2,3,21,6,1,0,1,8,7,7,28,.417,2,145,4.24,8.0,6,145,83,6,3.18,5.2,6,4,3,2,Lynn,2023-03-31,Houston Astros,Chicago White Sox,6,3,Houston Astros,1,,
718766,1,2,0,0,5,2,5,.197,29,.227,.279,.506,0,1,11,4,0,0,1,8,3,9,35,.333,1,141,5.50,9.0,4,141,94,4,5.14,7.0,5,2,6,4,"Martinez, N",4,0,0,1,8,3,9,.329,35,.369,.532,.901,1,4,14,1,2,0,0,5,2,5,29,.219,0,127,1.50,9.0,1,127,83,1,0.00,6.0,1,1,3,0,"Freeland, K",2023-03-31,San Diego Padres,Colorado Rockies,1,4,Colorado Rockies,0,,
718765,1,1,0,1,9,9,5,.262,31,.388,.400,.788,0,1,19,2,2,0,1,5,1,7,34,.229,0,122,2.00,9.0,2,122,83,2,0.00,7.0,4,1,3,0,May,2,2,0,1,5,1,7,.177,34,.200,.274,.474,0,2,11,1,1,0,1,9,9,5,31,.350,0,163,4.76,9.0,1,163,91,1,0.00,3.2,4,4,3,0,"Kelly, Me",2023-03-31,Los Angeles Dodgers,Arizona Diamondbacks,1,2,Arizona Diamondbacks,0,,
718763,4,4,0,0,13,3,7,.219,34,.286,.359,.645,1,4,16,9,2,0,0,4,8,13,39,.438,3,199,2.00,9.0,4,199,120,7,8.10,3.1,3,5,4,3,Ray,9,2,0,0,4,8,13,.243,39,.316,.286,.602,3,7,28,4,4,0,0,13,3,7,34,.289,1,150,3.71,9.0,4,150,104,4,9.82,3.2,4,1,5,4,Gaddis,2023-03-31,Seattle Mariners,Cleveland Guardians,4,9,Cleveland Guardians,0,,
718760,6,1,0,0,8,3,11,.234,36,.345,.319,.664,1,6,25,4,0,0,2,12,4,10,37,.341,2,173,3.33,9.0,4,173,105,4,6.75,4.0,5,1,7,3,Urquidy,4,0,0,2,12,4,10,.286,37,.333,.420,.753,2,4,21,6,1,0,0,8,3,11,36,.390,1,174,4.68,8.0,5,174,113,6,3.60,5.0,6,1,5,2,Giolito,2023-04-01,Houston Astros,Chicago White Sox,6,4,Houston Astros,1,,
718759,4,0,0,0,8,2,10,.338,33,.402,.446,.848,1,3,13,1,0,0,0,8,10,3,29,.350,0,166,5.50,9.0,1,166,93,0,0.00,5.0,4,7,0,0,Flaherty,1,0,0,0,8,10,3,.306,29,.416,.347,.763,0,0,28,4,0,0,0,8,2,10,33,.343,1,122,5.29,8.0,1,122,87,3,0.00,6.0,7,1,8,0,Gausman,2023-04-01,St. Louis Cardinals,Toronto Blue Jays,4,1,St. Louis Cardinals,1,,
